timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
1270,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,317.5
1270,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,317.5
1270,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,317.5
1270,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,317.5
1271,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,317.75
1271,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,317.75
1271,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,317.75
1271,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,317.75
1272,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,318.0
1272,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,318.0
1272,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,318.0
1272,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,318.0
1273,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,318.25
1273,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,318.25
1273,2,pat-141,80.0,385437.0,0,34.0,76185,0,2,42.5,19.76587613539956,0.0,318.25
1273,3,pat-171,600.0,1616261.0,512,3.0,7372,2,1,0.5,0.45611445181192894,0.390625,318.25
1274,0,k8s-cicd,152.0,383875.0,0,39.0,176332,0,10,25.657894736842106,45.934744382937154,0.0,318.5
1274,1,k8s-mano,240.0,772089.0,0,17.0,54066,0,2,7.083333333333333,7.002560585631967,0.0,318.5
